"EVENT_TYPE","MONTH_NAME","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON"
"Hail","April",33.1751,-95.0764,33.1751,-95.0764
"High Wind","October",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","May",33.9,-98.53,33.9,-98.53
"Hail","July",32.51,-96.95,32.51,-96.95
"Thunderstorm Wind","May",33.4507,-99.8568,33.4507,-99.8568
"Thunderstorm Wind","May",34.37,-99.35,34.37,-99.35
"Thunderstorm Wind","May",34.23,-99.28,34.23,-99.28
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",31.9835,-94.6515,31.9835,-94.6515
"Thunderstorm Wind","October",31.8678,-95.2895,31.8678,-95.2895
"Thunderstorm Wind","October",32.0401,-95.2804,32.0401,-95.2804
"Thunderstorm Wind","October",32.1108,-94.9668,32.1108,-94.9668
"Thunderstorm Wind","October",31.863,-94.9713,31.863,-94.9713
"Thunderstorm Wind","October",31.4997,-94.7484,31.4997,-94.7484
"Thunderstorm Wind","October",32.5248,-94.375,32.5248,-94.375
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",31.78,-95.7,31.78,-95.7
"Thunderstorm Wind","October",33.23,-97.6,33.23,-97.6
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Hail","July",32.54,-97.1,32.54,-97.1
"Flash Flood","October",29.9175,-93.9353,29.9293,-93.9246
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Hail","October",31.1,-97.72,31.1,-97.72
"Hail","October",33.15,-96.81,33.15,-96.81
"Thunderstorm Wind","July",33.3881,-95.5817,33.3881,-95.5817
"Thunderstorm Wind","October",30.8065,-97.6167,30.8065,-97.6101
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",29.89,-97.67,29.89,-97.67
"Thunderstorm Wind","October",30.4149,-97.8982,30.4149,-97.8982
"Thunderstorm Wind","October",29.8997,-97.9853,29.8997,-97.9853
"Thunderstorm Wind","July",33.62,-97.15,33.62,-97.15
"Thunderstorm Wind","July",31.4,-96.36,31.4,-96.36
"Thunderstorm Wind","October",30.59,-96.36,30.59,-96.36
"Hail","October",31.83,-99.43,31.83,-99.43
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",30.62,-96.39,30.62,-96.39
"Thunderstorm Wind","October",31.33,-95.48,31.33,-95.48
"Thunderstorm Wind","October",30.37,-95.8,30.37,-95.8
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","June",29.94,-97.9,29.94,-97.9
"Heat","June",NA,NA,NA,NA
"Hail","October",31.06,-97.89,31.06,-97.89
"Thunderstorm Wind","October",30.24,-95.46,30.24,-95.46
"Thunderstorm Wind","October",30.24,-95.46,30.24,-95.46
"Thunderstorm Wind","October",30.4,-95.63,30.4,-95.63
"Thunderstorm Wind","October",29.84,-95.38,29.84,-95.38
"Thunderstorm Wind","October",29.58,-95.58,29.58,-95.58
"Thunderstorm Wind","October",29.59,-95.52,29.59,-95.52
"Thunderstorm Wind","October",29.55,-95.09,29.55,-95.09
"Thunderstorm Wind","October",29.58,-95.06,29.58,-95.06
"Thunderstorm Wind","July",33.56,-97.47,33.56,-97.47
"Hail","October",31.08,-97.66,31.08,-97.66
"Hail","October",31.15,-97.46,31.15,-97.46
"Thunderstorm Wind","October",31.15,-97.41,31.15,-97.41
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",30.64,-96.34,30.64,-96.34
"Thunderstorm Wind","October",30.63,-96.33,30.63,-96.33
"Thunderstorm Wind","October",30.97,-96.11,30.97,-96.11
"Thunderstorm Wind","October",30.18,-96.4,30.18,-96.4
"Thunderstorm Wind","June",29.38,-100.93,29.38,-100.93
"Thunderstorm Wind","June",30.74,-98.24,30.74,-98.24
"Hail","June",29.73,-98.44,29.73,-98.44
"Thunderstorm Wind","June",28.86,-100.51,28.86,-100.51
"Thunderstorm Wind","June",29.8502,-97.8567,29.8502,-97.8567
"Hail","October",34.22,-100.45,34.22,-100.45
"High Wind","October",NA,NA,NA,NA
"Drought","August",NA,NA,NA,NA
"High Wind","October",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Hail","January",32.5254,-94.3672,32.5254,-94.3672
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Thunderstorm Wind","October",31.8239,-94.9493,31.8239,-94.9493
"Thunderstorm Wind","October",32.4748,-94.5748,32.4748,-94.5748
"Flash Flood","January",30.539,-94.6743,30.4853,-94.5878
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Hail","January",32.5321,-94.7309,32.5321,-94.7309
"Hail","January",32.5269,-94.7512,32.5269,-94.7512
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Hail","January",32.5049,-94.5745,32.5049,-94.5745
"Hail","January",32.5209,-94.3702,32.5209,-94.3702
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Hail","January",32.5118,-94.0711,32.5118,-94.0711
"Hail","January",31.4807,-94.7237,31.4807,-94.7237
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Thunderstorm Wind","July",32.39,-97.72,32.39,-97.72
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Flash Flood","October",30.9,-101.47,30.8998,-101.4729
"Thunderstorm Wind","October",33.18,-99.89,33.18,-99.89
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Thunderstorm Wind","May",32.97,-101.8473,32.97,-101.8473
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Hail","October",30.89,-102.89,30.89,-102.89
"Thunderstorm Wind","October",30.91,-102.91,30.91,-102.91
"Hail","October",30.91,-102.89,30.91,-102.89
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Hail","October",30.67,-104.02,30.67,-104.02
"Hail","October",30.91,-102.89,30.91,-102.89
"Flash Flood","October",30.9162,-102.9334,30.8784,-102.9153
"Thunderstorm Wind","October",31.12,-102.23,31.12,-102.23
"High Wind","October",NA,NA,NA,NA
"High Wind","October",NA,NA,NA,NA
"High Wind","October",NA,NA,NA,NA
"High Wind","October",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Drought","May",NA,NA,NA,NA
"Thunderstorm Wind","May",33.91,-99.76,33.91,-99.76
"Drought","February",NA,NA,NA,NA
"Hail","October",33.24,-97.6,33.24,-97.6
"Thunderstorm Wind","October",33.79,-96.81,33.79,-96.81
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",30.47,-97.64,30.47,-97.64
"Thunderstorm Wind","October",30.82,-98.2,30.82,-98.2
"Thunderstorm Wind","October",30.2,-97.82,30.2,-97.82
"Thunderstorm Wind","October",30.51,-97.83,30.51,-97.83
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Thunderstorm Wind","October",30.8,-97.62,30.8,-97.62
"Thunderstorm Wind","October",30.62,-98.37,30.62,-98.37
"Thunderstorm Wind","November",29.27,-94.87,29.27,-94.87
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"High Wind","March",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","November",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Drought","October",NA,NA,NA,NA
"Hail","February",33.1,-98.25,33.1,-98.25
"Hail","February",33.57,-97.84,33.57,-97.84
"Thunderstorm Wind","February",33.1004,-97.4498,33.1004,-97.4498
"High Wind","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Drought","September",NA,NA,NA,NA
"Hail","February",33.14,-96.9,33.14,-96.9
"Hail","February",33.15,-96.88,33.15,-96.88
"Hail","February",33.16,-96.86,33.16,-96.86
"Hail","February",33.14,-96.92,33.14,-96.92
"Hail","February",33.21,-96.77,33.21,-96.77
"Hail","February",33.1918,-96.7251,33.1918,-96.7251
"Hail","February",33.17,-96.71,33.17,-96.71
"Hail","February",33.15,-96.69,33.15,-96.69
"Hail","February",33.22,-96.61,33.22,-96.61
"Hail","February",33.26,-96.39,33.26,-96.39
"Hail","February",33.43,-95.66,33.43,-95.66
"Hail","February",33.42,-95.97,33.42,-95.97
"Hail","February",33.1842,-97.4516,33.1842,-97.4516
"Hail","February",32.9388,-97.6627,32.9388,-97.6627
"Hail","February",33.1335,-97.6225,33.1335,-97.6225
"Thunderstorm Wind","February",33.1338,-97.6225,33.1338,-97.6225
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Thunderstorm Wind","February",32.32,-102.5158,32.32,-102.5158
"Thunderstorm Wind","February",31.6353,-101.63,31.6353,-101.63
"Thunderstorm Wind","February",32.3111,-102.0016,32.3111,-102.0016
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Hail","February",33.13,-97.8,33.13,-97.8
"Hail","February",33.08,-97.71,33.08,-97.71
"Hail","February",33.15,-97.69,33.15,-97.69
"Hail","February",33.19,-97.48,33.19,-97.48
"Hail","February",33.19,-97.5,33.19,-97.5
"Hail","February",33.27,-97.42,33.27,-97.42
"Hail","February",33.24,-97.35,33.24,-97.35
"Thunderstorm Wind","February",32.78,-98.07,32.78,-98.07
"Hail","February",33.41,-97.25,33.41,-97.25
"Hail","February",33.37,-97.16,33.37,-97.16
"Hail","February",32.94,-97.86,32.94,-97.86
"Hail","February",32.87,-97.86,32.87,-97.86
"Hail","February",32.97,-97.72,32.97,-97.72
"Hail","February",32.99,-97.71,32.99,-97.71
"Hail","February",32.91,-97.72,32.91,-97.72
"Hail","February",33.14,-98.6,33.14,-98.6
"Hail","February",33.22,-98.16,33.22,-98.16
"Hail","February",33.07,-97.04,33.07,-97.04
"Hail","February",33.14,-96.97,33.14,-96.97
"Hail","February",33.18,-96.92,33.18,-96.92
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Flash Flood","January",29.83,-95.45,29.8225,-95.4497
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"High Wind","January",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Drought","February",NA,NA,NA,NA
"Flash Flood","January",30.44,-94.77,30.4421,-94.7694
"Drought","January",NA,NA,NA,NA
"Hail","January",31.5809,-94.5982,31.5809,-94.5982
"Drought","January",NA,NA,NA,NA
"Drought","January",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Drought","March",NA,NA,NA,NA
"Flash Flood","January",30.44,-94.77,30.4415,-94.7696
"Flash Flood","January",29.78,-95.54,29.7881,-95.5383
"Thunderstorm Wind","January",31.3003,-93.8436,31.3003,-93.8436
"Drought","January",NA,NA,NA,NA
"Flash Flood","January",29.8228,-95.5298,29.8224,-95.5203
